source;source_id;timestamp;price;total area;dorms;toilets;parking;address;lat;lng
vivareal;predio-comercial-10-quartos-pinheiros-zona-oeste-sao-paulo-com-garagem-1276m2-venda-RS27000000-id-2504799274;"2023-11-01 08:25:20.739924";27000000;1276;10.0;3.0;3.0;Rua Oscar Freire, 2372 - Pinheiros, São Paulo - SP;-23.5525461;-46.6772881
vivareal;artur-73-2655426366;"2023-11-01 08:26:14.403921";;8188;2.0;;1.0;Rua Artur de Azevedo, 73 - Pinheiros, São Paulo - SP;-23.5578801;-46.6735331
vivareal;lote-terreno-jardim-sta-fe-zona-oeste-sao-paulo-161000m2-venda-RS84042567-id-2665490403;"2023-11-01 08:26:37.943547";84042567;161000;;;;Rua Dionísio Bellante, 500 - Jardim Sta Fe , São Paulo - SP;-23.4325565;-46.7947493
vivareal;galpao-deposito-armazem-jurubatuba-zona-sul-sao-paulo-com-garagem-2194m2-venda-RS15000000-id-2577125310;"2023-11-01 08:27:31.782641";15000000;2194;;6.0;15.0;Avenida Engenheiro Eusébio Stevaux, 2496 - Jurubatuba, São Paulo - SP;-23.6805941;-46.6930971
vivareal;apartamento-3-quartos-jardim-europa-zona-oeste-sao-paulo-com-garagem-405m2-venda-RS28000000-id-2665202616;"2023-11-01 08:27:55.216031";28000000;405;3.0;;5.0;Rua Seridó - Jardim Europa, São Paulo - SP;-23.5829305;-46.6898405
vivareal;lote-terreno-parque-novo-mundo-zona-norte-sao-paulo-12035m2-venda-RS30000000-id-2495527521;"2023-11-01 08:28:18.776220";30000000;12035;;;;Rua Soldado Cristóvão Morais Garcia - Parque Novo Mundo, São Paulo - SP;-23.5162445;-46.5642456
vivareal;predio-comercial-jardim-humaita-zona-oeste-sao-paulo-com-garagem-4131m2-venda-RS35000000-id-2581799052;"2023-11-01 08:28:42.523372";35000000;4131;;20.0;130.0;Avenida Doutora Ruth Cardoso - Jardim Humaitá, São Paulo - SP;-23.5511175;-46.7241169
vivareal;predio-comercial-vila-hamburguesa-zona-oeste-sao-paulo-com-garagem-2300m2-venda-RS23980000-id-2623814452;"2023-11-01 08:29:08.161582";23980000;2300;;22.0;45.0;Avenida Queiroz Filho, 767 - Vila Hamburguesa, São Paulo - SP;-23.5385741;-46.726413
vivareal;artur-73-88m-2655426970;"2023-11-01 08:29:32.230004";;88;2.0;;1.0;Rua Artur de Azevedo, 73 - Pinheiros, São Paulo - SP;-23.5578801;-46.6735331
vivareal;lote-terreno-parque-anhanguera-zona-norte-sao-paulo-20000m2-venda-RS61999956-id-2665775710;"2023-11-01 08:29:55.858489";61999956;20000;;;0.0;Avenida Manoel Monteiro de Araújo, 01 - Parque Anhanguera, São Paulo - SP;-23.5080234;-46.7463125
vivareal;cambuci-zona-sul-sao-paulo-4314m2-venda-RS25000000-id-2635054091;"2023-11-01 08:30:19.427555";25000000;4314;;;0.0;Cambuci, São Paulo - SP;-23.5644729;-46.6211126
vivareal;apartamento-4-quartos-ibirapuera-zona-sul-sao-paulo-com-garagem-632m2-venda-RS26800000-id-2641686853;"2023-11-01 08:30:43.038163";26800000;632;4.0;;7.0;Rua do Livramento - Ibirapuera, São Paulo - SP;-23.5795335;-46.652537
vivareal;sobrado-7-quartos-jardim-cordeiro-zona-sul-sao-paulo-com-garagem-1850m2-venda-RS32000000-id-2614364218;"2023-11-01 08:31:36.834186";32000000;1850;7.0;;6.0;Avenida Professor Rubens Gomes de Souza, 305 - Jardim Cordeiro, São Paulo - SP;-23.6367211;-46.6831469
